date,open,high,low,close,volume,openinterest
2018-04-12,572.648,575.528,560.868,562.848,30713.0,0
2018-04-13,567.148,569.648,553.728,555.508,27549.0,0
2018-04-16,549.228,555.498,545.648,550.028,32939.0,0
2018-04-17,553.648,554.028,534.248,534.848,35172.0,0
2018-04-18,539.648,539.648,513.648,524.288,62616.0,0
2018-04-19,528.498,548.648,525.308,548.608,44207.0,0
2018-04-20,549.648,562.648,536.878,538.908,41511.0,0
2018-04-23,534.658,548.978,534.658,542.658,32659.0,0
2018-04-24,544.648,562.148,543.648,558.528,47282.0,0
2018-04-25,557.648,560.648,551.668,559.618,25252.0,0
2018-04-26,560.648,560.928,541.648,546.878,35047.0,0
2018-04-27,553.898,557.008,523.648,531.178,57915.0,0
2018-05-02,528.648,537.638,513.708,536.478,70259.0,0
2018-05-03,534.648,542.328,526.648,539.528,36326.0,0
2018-05-04,539.628,543.478,529.218,531.518,37375.0,0
2018-05-07,528.598,570.528,526.418,566.818,85591.0,0
2018-05-08,566.678,580.778,566.678,577.478,62497.0,0
2018-05-09,577.728,580.948,565.768,570.598,32331.0,0
2018-05-10,572.148,584.648,572.148,582.838,39293.0,0
2018-05-11,587.338,599.148,584.348,586.668,39141.0,0
2018-05-14,592.648,611.648,592.648,611.058,51014.0,0
2018-05-15,614.648,615.088,602.648,611.708,38055.0,0
2018-05-16,608.648,614.308,601.928,603.168,30795.0,0
2018-05-17,603.768,606.148,592.648,596.028,28517.0,0
2018-05-18,592.638,609.648,589.838,607.968,29255.0,0
2018-05-21,612.648,615.948,601.128,603.468,29059.0,0
2018-05-22,603.868,608.488,598.668,608.218,16998.0,0
2018-05-23,608.648,608.648,592.228,592.428,28268.0,0
2018-05-24,588.648,597.308,581.648,584.048,30416.0,0
2018-05-25,580.648,595.648,580.648,585.508,26511.0,0
2018-05-28,586.648,609.308,583.768,609.048,42805.0,0
2018-05-29,607.448,618.648,599.928,600.078,40820.0,0
2018-05-30,595.868,605.948,588.698,594.518,37147.0,0
2018-05-31,598.898,620.268,598.888,619.778,71852.0,0
2018-06-01,619.778,623.628,607.408,613.758,36177.0,0
2018-06-04,620.998,651.548,614.528,650.618,73805.0,0
2018-06-05,655.148,663.348,645.878,656.698,52629.0,0
2018-06-06,656.648,669.598,650.948,654.398,48969.0,0
2018-06-07,658.628,664.198,647.548,649.618,39167.0,0
2018-06-08,648.648,654.548,638.648,646.598,34958.0,0
2018-06-11,644.698,654.648,636.978,644.378,36547.0,0
2018-06-12,646.648,672.148,645.148,667.838,55287.0,0
2018-06-13,668.648,671.268,657.528,658.978,35244.0,0
2018-06-14,658.648,662.448,643.828,654.778,36159.0,0
2018-06-15,652.847,658.227,648.747,652.977,31707.0,0
2018-06-19,648.647,648.647,616.647,617.647,60195.0,0
2018-06-20,620.647,644.647,620.647,643.237,45838.0,0
2018-06-21,644.867,658.537,638.417,638.967,39182.0,0
2018-06-22,633.647,646.647,629.647,646.177,28854.0,0
2018-06-25,645.647,658.617,644.547,645.207,32934.0,0
2018-06-26,644.957,649.527,626.647,634.447,46577.0,0
2018-06-27,631.647,636.647,600.647,602.087,57298.0,0
2018-06-28,593.647,598.647,576.647,590.577,50833.0,0
2018-06-29,591.947,611.947,584.647,611.107,32929.0,0
2018-07-02,614.167,618.977,582.647,591.197,37558.0,0
2018-07-03,589.407,595.427,557.877,574.567,82837.0,0
2018-07-04,571.647,579.647,567.647,570.557,37990.0,0
2018-07-05,579.647,595.847,579.647,582.037,47123.0,0
2018-07-06,586.647,600.577,578.907,593.767,44156.0,0
2018-07-09,599.677,609.507,599.377,606.887,40572.0,0
2018-07-10,608.647,611.147,592.977,605.407,29010.0,0
2018-07-11,589.647,603.647,581.867,599.227,24278.0,0
2018-07-12,597.647,620.817,597.647,617.187,40170.0,0
2018-07-13,621.947,627.747,614.767,626.637,28907.0,0
2018-07-16,631.947,643.757,630.677,634.327,32474.0,0
2018-07-17,636.647,636.647,615.667,622.077,27806.0,0
2018-07-18,622.077,629.337,614.647,617.087,24521.0,0
2018-07-19,618.647,623.597,614.667,620.597,18078.0,0
2018-07-20,621.147,622.777,607.647,620.777,30548.0,0
2018-07-23,615.647,620.797,599.657,611.717,35969.0,0
2018-07-24,612.327,626.947,602.647,625.047,41808.0,0
2018-07-25,626.597,629.527,619.657,623.457,21743.0,0
2018-07-26,628.547,628.547,613.877,615.267,23067.0,0
2018-07-27,615.647,623.947,609.647,618.207,20913.0,0
2018-07-30,618.547,620.307,594.647,598.857,42171.0,0
2018-07-31,599.947,607.527,598.857,606.087,20683.0,0
2018-08-01,611.047,611.947,593.757,594.587,25237.0,0
2018-08-02,595.617,595.617,567.527,575.487,55001.0,0
2018-08-03,574.647,574.647,555.847,558.637,47336.0,0
2018-08-06,556.647,563.647,541.897,549.327,45248.0,0
2018-08-07,551.947,567.477,541.667,565.927,39085.0,0
2018-08-08,566.667,568.647,551.517,555.867,29685.0,0
2018-08-09,550.647,574.147,549.767,571.527,34485.0,0
2018-08-10,571.527,574.417,563.847,566.827,23817.0,0
2018-08-13,562.647,562.647,546.327,558.867,34570.0,0
2018-08-14,558.867,564.147,553.157,559.777,21696.0,0
2018-08-15,559.447,559.647,540.647,542.447,34997.0,0
2018-08-16,531.647,548.147,519.647,528.087,59939.0,0
2018-08-17,537.147,537.147,509.657,514.507,46574.0,0
2018-08-20,512.097,525.197,496.507,524.437,48852.0,0
2018-08-21,526.647,551.947,526.647,551.137,52249.0,0
2018-08-22,550.647,552.847,542.647,547.347,20675.0,0
2018-08-23,551.347,558.147,544.827,549.857,27357.0,0
2018-08-24,548.647,548.647,536.107,539.947,26090.0,0
2018-08-27,541.647,566.947,541.647,566.947,48016.0,0
2018-08-28,572.647,573.427,558.197,560.647,32488.0,0
2018-08-29,561.647,568.527,558.747,565.497,27404.0,0
2018-08-30,567.857,572.247,558.657,560.047,33788.0,0
2018-08-31,555.897,556.647,536.147,538.837,58980.0,0
2018-09-03,531.647,547.317,530.447,545.857,30179.0,0
2018-09-04,546.447,555.647,541.247,554.687,21540.0,0
2018-09-05,554.647,556.637,536.647,537.437,28983.0,0
2018-09-06,531.647,538.907,519.647,523.647,42370.0,0
2018-09-07,525.147,537.677,524.787,530.617,29240.0,0
2018-09-10,531.847,533.457,520.347,524.447,21202.0,0
2018-09-11,525.217,530.617,520.277,525.647,19496.0,0
2018-09-12,522.647,524.517,507.657,509.647,41157.0,0
2018-09-13,517.647,521.647,499.647,511.627,47713.0,0
2018-09-14,513.627,529.427,508.177,522.547,40900.0,0
2018-09-17,524.647,532.607,520.707,525.457,29112.0,0
2018-09-18,522.647,547.647,521.867,546.347,37858.0,0
2018-09-19,546.227,565.647,545.647,561.067,48221.0,0
2018-09-20,564.847,566.547,557.007,558.197,27519.0,0
2018-09-21,561.647,579.657,559.657,579.657,42617.0,0
2018-09-25,574.647,585.417,572.907,576.667,30639.0,0
2018-09-26,581.747,612.327,581.637,604.577,72287.0,0
2018-09-27,607.147,607.647,595.047,603.647,40508.0,0
2018-09-28,606.347,612.847,598.527,609.647,35089.0,0
2018-10-08,595.057,598.647,565.797,565.797,82745.0,0
2018-10-09,566.547,578.357,565.547,574.647,40222.0,0
2018-10-10,576.907,577.647,549.337,550.567,63098.0,0
2018-10-11,514.657,548.587,514.657,524.637,91581.0,0
2018-10-12,530.647,552.327,530.227,547.647,54472.0,0
2018-10-15,549.137,551.597,539.677,546.547,35607.0,0
2018-10-16,545.627,559.177,541.657,546.787,26393.0,0
2018-10-17,554.647,556.947,529.547,545.367,43077.0,0
2018-10-18,539.647,539.647,524.617,525.587,52156.0,0
2018-10-19,517.647,554.647,514.727,549.647,76199.0,0
2018-10-22,554.647,581.667,554.647,572.647,73108.0,0
2018-10-23,568.647,568.647,514.647,521.387,123112.0,0
2018-10-24,507.757,529.647,499.647,516.637,76112.0,0
2018-10-25,499.647,502.147,488.227,498.647,75568.0,0
2018-10-26,498.647,504.647,487.627,489.747,55327.0,0
2018-10-29,428.737,428.737,428.737,428.737,49076.0,0
2018-10-30,389.647,422.647,388.667,403.647,204396.0,0
2018-10-31,406.647,434.647,401.647,428.547,96884.0,0
2018-11-01,434.647,465.147,430.897,442.647,98106.0,0
2018-11-02,464.647,479.647,451.887,479.547,89156.0,0
2018-11-05,472.647,472.647,451.417,455.447,75517.0,0
2018-11-06,453.647,453.807,437.657,445.647,45566.0,0
2018-11-07,448.647,454.597,441.657,446.047,38107.0,0
2018-11-08,453.647,456.647,447.647,449.987,33763.0,0
2018-11-09,446.867,448.647,441.647,441.647,24336.0,0
2018-11-12,432.647,433.847,416.447,431.647,67824.0,0
2018-11-13,425.767,449.647,422.647,449.647,66429.0,0
2018-11-14,449.607,449.607,432.197,434.747,41766.0,0
2018-11-15,438.447,444.447,435.147,439.347,30833.0,0
2018-11-16,440.647,445.647,437.677,439.647,28938.0,0
2018-11-19,439.947,451.647,438.757,448.667,36179.0,0
2018-11-20,444.647,447.647,439.647,441.247,26943.0,0
2018-11-21,433.647,448.547,433.327,444.347,27107.0,0
2018-11-22,444.797,446.977,437.647,444.147,21213.0,0
2018-11-23,443.647,446.947,436.547,436.547,20126.0,0
2018-11-26,437.647,439.847,431.647,431.757,19120.0,0
2018-11-27,431.647,434.637,426.147,427.747,20233.0,0
2018-11-28,430.497,438.837,425.147,436.647,27737.0,0
2018-11-29,445.677,449.447,428.657,431.247,45069.0,0
2018-11-30,436.647,448.537,432.647,444.647,49010.0,0
2018-12-03,468.647,484.647,464.417,480.847,83414.0,0
2018-12-04,482.637,483.907,474.647,481.877,31473.0,0
2018-12-05,477.147,496.147,474.647,489.747,41588.0,0
2018-12-06,479.647,485.627,470.007,471.447,37758.0,0
2018-12-07,475.247,478.507,464.347,466.647,26841.0,0
2018-12-10,455.647,467.147,453.827,456.877,24640.0,0
2018-12-11,456.647,466.197,456.647,462.637,16316.0,0
2018-12-12,468.437,468.847,462.447,468.647,19921.0,0
2018-12-13,469.647,486.527,469.247,481.397,40399.0,0
2018-12-14,477.657,479.447,471.647,472.607,24554.0,0
2018-12-17,472.217,475.617,464.657,470.167,24895.0,0
2018-12-18,465.527,471.187,464.647,470.587,19222.0,0
2018-12-19,468.647,470.637,455.677,457.447,25715.0,0
